Reference;Value;Qty;Mouser Part Number/Link
C12,C13,C17;2.2nF;3;80-C320C222K5R
C15,C16,C26,C27;3.3nF;4;80-C320C332K5R
C25;10nF;1;80-C320C103K5R
C3,C4,C18;15nF;3;80-C320C153K5R5
C5,C11;33nF;2;80-C320C333K5R
C8,C9;39nF;2;80-C320C393K5R
C30,C31;47nF;2;80-C320C473K5R5TA-TR
C1,C6,C7,C10,C19,C20,C21,C22,C23,C24;100nF;10;80-C320C104K5R5TATR
C2;220nF;1;80-C320C224K5R
C14;1uF;1;80-C320C105K5R5TA
C28,C29,C32;10uF;3;80-C324C106K3R-TR
R28;47R;1;603-MFR-25FRF52-47R
R14;220R;1;603-MFR-25FRF52-220R
R51,R52,R53,R54,R58;330R;5;603-MFR-25FRF52-330R
R42;680R;1;603-MFR-25FRF52-680R
R19,R21,R29,R43,R46,R55,R59,R61;1K;8;603-MFR-25FRF521K
R49;3.3K;1;603-MFR-25FRF52-3K3
R45;4.7K;1;603-MFR-25FRF52-4K7
R1,R2,R4,R6,R12,R36,R37,R38,R39,R40,R41;10K;11;603-MFR-25FRF5210K
R11,R17,R23,R24,R26,R30,R47,R56;20K;8;603-MFR-25FRF5220K
R31;33K;1;603-MFR-25FRF52-33K
R7,R16,R32;47K;3;603-MFR-25FRF52-47K
R33,R57;51K;2;603-MFR-25FRF52-51K
R25,R34,R44;68K;3;603-MFR-25FRF52-68K
R5,R9,R15,R18,R27,R35,R48;100K;7;603-MFR-25FRF52100K
R13,R22;220K;2;603-MFR-25FRF52-220K
R3,R8,R10,R20,R50,R60;680K;6;603-MFR-25FRF52-680K
D1,D2,D8,D9;1N4148;4;512-1N4148
D7;1N5819;1;637-1N5819
D3,D4,D5,D6;LED;4;604-WP132XID
Q1,Q2,Q3,Q4;2N3904;4;512-2N3904BU
U1,U3;LM324;2;595-LM324N
U2;CD4066;1;595-CD4066BE
U4;CD40106;1;595-CD40106BE
U5;LTV-817;1;859-LTV-817
J2,J3;Audio Jack;2;490-SJ1-3524NG
J4;8 Pin Con;1;571-5-146274-8, 855-M7581-05
J1;DC Jack;1;806-KLDX-0202-AC
SW1;On/Off Switch;1;179-SLW8645745ARAND
SW2,SW3,SW4,SW5;Menu Switches;4;611-PTS645SK432
SW6,SW7,SW8,SW9;Voice Switches;4;540-MX1A-C1NN
RV7,RV8,RV9;10K;3;531-PT10V-10K-S
RV1,RV2,RV5,RV6;10K;4;652-PTV09A-4025UB103
RV3,RV4;100K;2;652-PTV09A-4025UA104,652-PTV09A-4025UB104
A1;Arduino Nano;1;https://www.amazon.com.be/-/nl/AZDelivery-AZ-Nano-microcontroller-ATMEGA328-inbegrepen/dp/B01LWSJBTD/ref=sr_1_8?crid=22HQ10E95IMMU&dib=eyJ2IjoiMSJ9._rMoLuUp-tlsQ1AXxNTZ3u2lTAN64zggp-XrJBjUmL3tMD_yWbxBUBikBbZdhqX7A9ifYvjCU7o0RnxESqqZZ9FAFMEi7e_g4m7xgr42vilZvyQv2u_DQlrFOwTotK01oLqJuPZEb0ihZIIRlF1Jmjt8U5PRD8yAmDDMcFcKJQEoX3lnyK9tUjPXbfPBFIVBc_G8bG4j3fawEvlgyCpW_XpvHgvH3aKGDrjUjfTfFEKTp2WJEC4BAPf_fMEHLHsrXE9KSzdD_SQOvPwe7thHkJVCrSrS_6amak79eaL8-LM.LVNu01SpIjPijRwJo_nF2r2DjtqHo921KixygB6v36M&dib_tag=se&keywords=arduino+nano&qid=1786996846&sprefix=arduino+nano,aps,120&sr=8-8&th=1
;Power supply;1;https://www.amazon.com.be/dp/B0BGRF8H44?ref=cm_sw_r_cso_cp_apin_dp_0Q9TW0RC5F94TK49NSYZ&ref_=cm_sw_r_cso_cp_apin_dp_0Q9TW0RC5F94TK49NSYZ&social_share=cm_sw_r_cso_cp_apin_dp_0Q9TW0RC5F94TK49NSYZ&th=1
